id,name,now_cost,position,team,ict_index_rank,influence_rank,influence_rank_type,starts_per_90,expected_assists,ep_this,status,threat_rank,clean_sheets,transfers_out,threat,dreamteam_count,chance_of_playing_this_round,form,cost_change_start_fall,form_rank_type,direct_freekicks_order,form_rank,expected_goals_per_90,clean_sheets_per_90,points_per_game_rank,starts,own_goals,ict_index_rank_type,penalties_missed,now_cost_rank_type,value_form,expected_goal_involvements_per_90,now_cost_rank,goals_conceded_per_90,expected_assists_per_90,web_name,news_added,selected_rank,selected_by_percent,assists,expected_goals,expected_goals_conceded,bonus,cost_change_start,saves,chance_of_playing_next_round,event_points,minutes,yellow_cards,threat_rank_type,corners_and_indirect_freekicks_order,ep_next,in_dreamteam,selected_rank_type,expected_goal_involvements,penalties_saved,influence,points_per_game,saves_per_90,creativity,creativity_rank,red_cards,ict_index,transfers_in,expected_goals_conceded_per_90,value_season,creativity_rank_type,total_points,goals_scored,bps,goals_conceded,news,points_per_game_rank_type,penalties_order
666,Tom Davies,50,MID,Sheffield Utd,463,472,208,0.84,0.06,-0.2,d,358,0,1157,48.0,0,25.0,0.0,0,335,,799,0.14,0.0,551,2,0,206,0,113,0.0,0.17,187,4.63,0.03,T.Davies,2024-03-30T21:00:10.413756Z,752,0.0,0,0.34,7.43,0,0,0,25.0,0,214,2,184,,-0.2,False,295,0.40,0,26.4,0.8,0.0,18.1,437,0,9.4,1039,3.12,1.4,212,7,0,11,11,Lack of match fitness - 25% chance of playing,258,
693,Luke Thomas,40,DEF,Sheffield Utd,395,375,145,1.08,0.18,0.0,u,327,0,10151,64.0,0,0.0,0.0,0,157,,433,0.05,0.0,558,11,0,140,0,185,0.0,0.07,718,2.85,0.02,Thomas,2024-01-15T07:29:55.802272Z,524,0.0,0,0.53,21.70,0,0,0,0.0,0,916,3,106,,0.0,False,204,0.71,0,127.8,0.6,0.0,53.9,370,0,24.7,10836,2.13,1.8,130,7,0,80,29,Loan terminated and has returned to  Leicester City,184,
730,Ryan Oné,44,MID,Sheffield Utd,728,724,278,0.0,0.00,-1.0,a,695,0,697,0.0,0,,0.0,1,208,,601,0.0,0.0,484,0,0,279,0,353,0.0,0.0,603,25.71,0.0,Oné,,783,0.0,0,0.00,1.28,0,-1,0,,0,7,0,268,,-1.0,False,310,0.00,0,0.0,1.0,0.0,0.3,518,0,0.0,842,16.46,0.2,246,1,0,3,2,,216,
731,Jili Buyabu,40,DEF,Sheffield Utd,676,671,259,0.0,0.00,0.0,u,624,0,1581,0.0,0,0.0,0.0,0,203,,500,0.0,0.0,684,0,0,259,0,241,0.0,0.0,795,0.0,0.0,Buyabu,2024-02-04T18:39:25.650359Z,679,0.0,0,0.00,0.00,0,0,0,0.0,0,0,0,254,,0.0,False,245,0.00,0,0.0,0.0,0.0,0.0,661,0,0.0,1484,0.0,0.0,258,0,0,0,0,Season-long loan to Motherwell,255,
759,Sydie Peck,44,MID,Sheffield Utd,727,723,277,0.0,0.00,-1.0,a,694,0,551,0.0,0,,0.0,1,207,,600,0.0,0.0,483,0,0,278,0,352,0.0,0.0,602,0.0,0.0,Peck,,789,0.0,0,0.00,0.12,0,-1,0,,0,9,0,267,,-1.0,False,316,0.00,0,0.0,1.0,0.0,0.1,525,0,0.0,679,1.2,0.2,250,1,0,3,0,,215,
775,Ben Brereton,50,MID,Sheffield Utd,194,251,102,1.14,1.07,1.0,a,86,0,55745,422.0,1,100.0,2.0,0,70,,149,0.45,0.0,27,14,0,100,0,117,0.4,0.54,192,3.01,0.09,Brereton Díaz,2024-02-10T20:30:08.588728Z,347,0.2,1,5.52,23.91,5,0,0,100.0,2,1105,3,54,,3.2,False,104,6.58,0,312.2,4.4,0.0,124.0,272,0,85.3,73108,1.95,12.4,156,62,6,173,37,,18,
790,Ivo Grbic,45,GKP,Sheffield Utd,388,286,28,1.05,0.01,-1.0,a,704,0,6649,0.0,0,100.0,0.0,0,95,,612,0.0,0.0,371,9,0,28,0,19,0.0,0.0,365,2.92,0.0,Grbić,2024-01-31T01:30:14.717439Z,551,0.0,0,0.00,14.32,0,0,37,100.0,0,771,1,84,,-0.8,False,73,0.01,0,257.6,1.7,4.32,0.0,723,0,25.6,9255,1.67,3.3,92,15,0,149,25,,36,
822,Billy Blacker,45,FWD,Sheffield Utd,817,813,99,0.0,0.00,-1.0,a,799,0,1236,0.0,0,,0.0,0,86,,724,0.0,0.0,816,0,0,102,0,99,0.0,0.0,509,0.0,0.0,Blacker,,681,0.0,0,0.00,0.00,0,0,0,,0,0,0,102,,-1.0,False,92,0.00,0,0.0,0.0,0.0,0.0,811,0,0.0,2101,0.0,0.0,102,0,0,0,0,,102,
823,Oliver Arblaster,45,MID,Sheffield Utd,362,356,151,1.05,0.82,0.5,a,414,0,589,23.0,0,,1.5,0,85,,176,0.0,0.0,390,11,1,163,0,292,0.3,0.08,478,2.68,0.08,Arblaster,,747,0.0,0,0.02,20.34,0,0,0,,2,942,2,206,,0.8,False,292,0.84,0,155.4,1.6,0.0,140.5,253,0,32.0,1123,1.94,4.2,148,19,0,131,28,,169,
827,Dovydas Sasnauskas,40,DEF,Sheffield Utd,680,675,263,0.0,0.00,-1.0,a,629,0,302,0.0,0,,0.0,0,207,,504,0.0,0.0,689,0,0,263,0,246,0.0,0.0,800,0.0,0.0,Sasnauskas,,729,0.0,0,0.00,0.00,0,0,0,,0,0,0,259,,-1.0,False,257,0.00,0,0.0,0.0,0.0,0.0,665,0,0.0,441,0.0,0.0,262,0,0,0,0,,260,
828,Sam Curtis,40,DEF,Sheffield Utd,535,529,190,0.0,0.00,-0.5,a,616,0,457,0.0,0,,0.5,0,86,,277,0.0,0.0,465,0,0,191,0,236,0.1,0.0,787,0.0,0.0,Curtis,,704,0.0,0,0.00,0.27,0,0,0,,0,27,0,249,,-0.8,False,250,0.00,0,2.2,1.0,0.0,0.3,516,0,0.3,760,0.9,0.2,189,1,0,2,0,,165,
857,Owen Hampson,45,MID,Sheffield Utd,816,812,339,0.0,0.00,-1.0,a,798,0,55,0.0,0,,0.0,0,284,,723,0.0,0.0,815,0,0,340,0,308,0.0,0.0,508,0.0,0.0,Hampson,,854,0.0,0,0.00,0.00,0,0,0,,0,0,0,334,,-1.0,False,369,0.00,0,0.0,0.0,0.0,0.0,810,0,0.0,100,0.0,0.0,339,0,0,0,0,,340,
450,Brennan Johnson,58,MID,Spurs,41,108,42,1.01,4.30,5.3,a,27,5,344258,782.0,1,100.0,4.3,2,33,,63,0.4,0.19,70,26,0,30,0,49,0.7,0.57,79,1.63,0.17,Johnson,2024-04-03T07:00:09.620720Z,141,2.0,12,10.36,43.97,9,-2,0,100.0,6,2317,3,14,,4.0,False,40,14.65,0,554.4,3.7,0.0,624.3,47,0,196.3,485777,1.71,22.6,41,131,5,397,42,,38,
491,Brandon Austin,39,GKP,Spurs,575,569,55,0.0,0.00,1.0,a,514,0,18351,0.0,0,,0.0,1,46,,385,0.0,0.0,584,0,0,55,0,85,0.0,0.0,828,0.0,0.0,Austin,,346,0.2,0,0.00,0.00,0,-1,0,,0,0,0,24,,1.0,False,49,0.00,0,0.0,0.0,0.0,0.0,557,0,0.0,11438,0.0,0.0,41,0,0,0,0,,55,
492,Rodrigo Bentancur,54,MID,Spurs,286,326,136,1.17,1.05,2.3,a,215,1,9824,156.0,0,100.0,1.3,1,97,,195,0.18,0.09,421,13,0,136,0,67,0.2,0.27,114,2.26,0.09,Bentancur,2023-11-26T22:00:10.620789Z,542,0.0,1,2.01,19.98,0,-1,0,100.0,3,997,7,118,,2.0,False,184,3.06,0,193.0,1.4,0.0,174.9,225,0,52.1,11509,1.8,5.9,137,32,1,153,25,,187,
493,Yves Bissouma,50,MID,Spurs,200,187,82,1.13,1.67,0.0,i,229,7,99325,140.0,0,0.0,0.7,0,127,4.0,260,0.05,0.3,395,26,0,103,0,121,0.1,0.12,200,1.52,0.07,Bissouma,2024-05-13T12:30:08.636930Z,295,0.3,0,1.18,41.30,0,0,0,0.0,0,2070,8,125,,0.0,False,94,2.85,0,403.0,1.6,0.0,279.4,151,2,82.3,86881,1.8,8.8,101,44,0,315,35,Knee injury - Expected back 01 Jun,174,
494,Bryan Gil Salvatierra,49,MID,Spurs,427,470,207,0.9,0.24,1.0,a,339,0,2086,59.0,0,100.0,0.0,1,326,,787,0.3,0.0,451,2,0,194,0,160,0.0,0.41,253,4.95,0.11,Bryan,2023-08-04T11:00:04.405468Z,670,0.0,0,0.67,7.19,0,-1,0,100.0,0,200,0,173,,1.2,False,256,0.91,0,28.6,1.1,0.0,70.1,344,0,15.9,2073,3.24,2.4,185,12,0,41,11,,206,
495,Ben Davies,43,DEF,Spurs,291,265,101,1.0,0.57,0.0,i,250,1,102011,124.0,0,0.0,0.0,2,224,,532,0.19,0.08,304,12,0,96,0,127,0.0,0.24,619,1.74,0.05,Davies,2024-05-01T10:30:10.698766Z,279,0.4,2,2.34,22.43,0,-2,0,0.0,0,1085,2,68,,0.0,False,113,2.91,0,294.8,2.0,0.0,81.0,334,0,50.3,56951,1.86,7.9,112,34,1,216,21,Calf injury - Expected back 01 Jun,101,
496,Eric Dier,42,DEF,Spurs,475,442,168,0.45,0.03,0.0,u,462,0,109250,4.0,0,0.0,0.0,3,211,,511,0.0,0.0,560,1,0,170,0,149,0.0,0.01,662,3.62,0.01,Dier,2024-01-12T16:44:42.318683Z,285,0.3,0,0.00,7.04,0,-3,0,0.0,0,199,0,172,,0.0,False,116,0.03,0,55.8,0.5,0.0,1.0,499,0,6.0,33518,3.18,0.5,185,2,0,31,8,On loan to Bayern Munich until the end of the season,186,
